🌍 Top 100 Languages by Total Speakers
Rank	Language Name	ISO Code	Flag
1	English	en	🇬🇧
2	Mandarin Chinese	zh	🇨🇳
3	Hindi	hi	🇮🇳
4	Spanish	es	🇪🇸
5	French	fr	🇫🇷
6	Modern Standard Arabic	ar	🇸🇦
7	Bengali	bn	🇧🇩
8	Portuguese	pt	🇵🇹
9	Russian	ru	🇷🇺
10	Urdu	ur	🇵🇰
11	Indonesian	id	🇮🇩
12	Standard German	de	🇩🇪
13	Japanese	ja	🇯🇵
14	Nigerian Pidgin	pcm	🇳🇬
15	Egyptian Arabic	arz	🇪🇬
16	Marathi	mr	🇮🇳
17	Vietnamese	vi	🇻🇳
18	Telugu	te	🇮🇳
19	Turkish	tr	🇹🇷
20	Western Punjabi	pnb	🇵🇰
21	Wu Chinese (Shanghainese)	wuu	🇨🇳
22	Korean	ko	🇰🇷
23	Tamil	ta	🇮🇳
24	Yue Chinese (Cantonese)	yue	🇨🇳
25	Javanese	jv	🇮🇩
26	Italian	it	🇮🇹
27	Gujarati	gu	🇮🇳
28	Iranian Persian (Farsi)	fa	🇮🇷
29	Bhojpuri	bho	🇮🇳
30	Southern Min (Hokkien)	nan	🇨🇳
31	Hakka	hak	🇨🇳
32	Jin Chinese	cjy	🇨🇳
33	Hausa	ha	🇳🇬
34	Kannada	kn	🇮🇳
35	Burmese	my	🇲🇲
36	Oriya (Odia)	or	🇮🇳
37	Maithili	mai	🇮🇳
38	Thai	th	🇹🇭
39	Uzbek	uz	🇺🇿
40	Sindhi	sd	🇵🇰
41	Amharic	am	🇪🇹
42	Fula	ff	🌍
43	Romanian	ro	🇷🇴
44	Oromo	om	🇪🇹
45	Igbo	ig	🇳🇬
46	Azerbaijani	az	🇦🇿
47	Awadhi	awa	🇮🇳
48	Gan Chinese	gan	🇨🇳
49	Cebuano	ceb	🇵🇭
50	Dutch	nl	🇳🇱
51	Kurdish	ku	🌍
52	Serbo-Croatian	sh	🌍
53	Malagasy	mg	🇲🇬
54	Saraiki	skr	🇵🇰
55	Nepali	ne	🇳🇵
56	Sinhala	si	🇱🇰
57	Chittagonian	ctg	🇧🇩
58	Zhuang	za	🇨🇳
59	Khmer	km	🇰🇭
60	Turkmen	tk	🇹🇲
61	Assamese	as	🇮🇳
62	Madurese	mad	🇮🇩
63	Somali	so	🇸🇴
64	Marwari	mwr	🇮🇳
65	Magahi	mag	🇮🇳
66	Haryanvi	bgc	🇮🇳
67	Hungarian	hu	🇭🇺
68	Chhattisgarhi	hne	🇮🇳
69	Greek	el	🇬🇷
70	Chewa	ny	🇲🇼
71	Deccan	dcc	🇮🇳
72	Akan	ak	🇬🇭
73	Kazakh	kk	🇰🇿
74	Northern Min	cdo	🇨🇳
75	Sylheti	syl	🇧🇩
76	Zulu	zu	🇿🇦
77	Czech	cs	🇨🇿
78	Kinyarwanda	rw	🇷🇼
79	Dhundhari	dhd	🇮🇳
80	Haitian Creole	ht	🇭🇹
81	Eastern Min	czh	🇨🇳
82	Ilocano	ilo	🇵🇭
83	Quechua	qu	🇵🇪
84	Kirundi	rn	🇧🇮
85	Swedish	sv	🇸🇪
86	Hiligaynon	hil	🇵🇭
87	Mossi	mos	🇧🇫
88	Xhosa	xh	🇿🇦
89	Belarusian	be	🇧🇾
90	Balochi	bal	🇵🇰
91	Konkani	kok	🇮🇳
92	Shona	sn	🇿🇼
93	Tatar	tt	🇷🇺
94	Uyghur	ug	🇨🇳
95	Hebrew	he	🇮🇱
96	Uyghur	ug	🇨🇳
97	Pashto	ps	🇦🇫
98	Tigrinya	ti	🇪🇷
99	Bulgarian	bg	🇧🇬
100	Danish	da	🇩🇰

